Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2022-01-04	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	KE	0	0.00134100
2022-01-04	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	2	100	Song	IN	0	0.00017300
2022-01-04	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	KR	0	0.00289900
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	8	100	Song	ES	0	0.01484295
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	RO	0	0.00019747
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	3	100	Song	DK	0	0.01489373
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	4	100	Song	RU	0	0.00322722
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	2441	100	Song	SE	0	9.59946433
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	361	100	Song	DE	0	0.74668707
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	2	100	Song	AR	0	0.00159668
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	AU	0	0.00324076
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	10	100	Song	JP	0	0.03830009
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	2	100	Song	CZ	0	0.00778369
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	PH	0	0.00005868
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	IT	0	0.00050439
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	2	100	Song	NO	0	0.00809851
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	BD	0	0.00006883
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	TW	0	0.00022455
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	2	100	Song	PE	0	0.00016362
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	2	100	Song	BE	0	0.00932395
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	9	100	Song	BR	0	0.02269886
2022-01-05	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	7	100	Song	SK	0	0.02405068
2022-01-07	2021-10	Spotify	laikd	Useless	QZMEQ2166616	196400733881	2	100	Song	GB	0	0.01191458
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	CL	0	0.00015080
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	7	100	Song	PH	0	0.00322906
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	12	100	Song	JP	0	0.03395728
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	FI	0	0.00734815
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	567	100	Song	DE	0	1.16106581
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	2	100	Song	NO	0	0.01535504
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	3	100	Song	ID	0	0.00131974
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	2	100	Song	TW	0	0.00485493
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	5	100	Song	GR	0	0.00725291
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	702	100	Song	SE	0	2.75700138
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	2	100	Song	FR	0	0.00346149
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	8	100	Song	CZ	0	0.01516229
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	3	100	Song	RU	0	0.00324833
2022-01-22	2021-11	Spotify	laikd	Monster	QZMEQ2103063	196397144486	2	100	Song	MY	0	0.00044785
